TEGDMA,h,noz,sub,vf,vs,line,thickness (mm)
25,100,FDTS,film,1.5,1.5,1,0.047404699
25,100,FDTS,film,1.5,1.5,2,0.04216416
25,100,FDTS,film,1.5,1.5,3,0.024520714
25,100,FDTS,film,1.5,2.5,4,0.040190256
25,100,FDTS,film,1.5,2.5,5,0.044755494
25,100,FDTS,film,1.5,2.5,6,0.034654116
25,100,FDTS,film,1.5,3.5,7,0.027398045
25,100,FDTS,film,1.5,3.5,8,0.028447664
25,100,FDTS,film,1.5,3.5,9,
25,100,FDTS,film,1.5,4.5,1,0.036952299
25,100,FDTS,film,1.5,4.5,2,0.029378496
25,100,FDTS,film,1.5,4.5,3,0.029806871
25,100,FDTS,film,1.5,5.5,4,0.031823446
25,100,FDTS,film,1.5,5.5,5,0.032781257
25,100,FDTS,film,1.5,5.5,6,0.030826682
25,100,FDTS,film,1.5,6.5,7,0.024132102
25,100,FDTS,film,1.5,6.5,8,0.02056278
25,100,FDTS,film,1.5,6.5,9,
25,100,FDTS,film,2.5,1.5,1,0.086120327
25,100,FDTS,film,2.5,1.5,2,0.090635077
25,100,FDTS,film,2.5,1.5,3,0.097053287
25,100,FDTS,film,2.5,2.5,4,0.053803421
25,100,FDTS,film,2.5,2.5,5,0.053991815
25,100,FDTS,film,2.5,2.5,6,0.059899681
25,100,FDTS,film,2.5,3.5,7,0.04741737
25,100,FDTS,film,2.5,3.5,8,0.047179732
25,100,FDTS,film,2.5,3.5,9,0.041392372
25,100,FDTS,film,2.5,4.5,1,0.052265668
25,100,FDTS,film,2.5,4.5,2,0.042575465
25,100,FDTS,film,2.5,4.5,3,0.022664336
25,100,FDTS,film,2.5,5.5,4,0.04566432
25,100,FDTS,film,2.5,5.5,5,0.049971963
25,100,FDTS,film,2.5,5.5,6,0.043204276
25,100,FDTS,film,2.5,6.5,7,0.042671894
25,100,FDTS,film,2.5,6.5,8,0.041675965
25,100,FDTS,film,2.5,6.5,9,0.028928052
25,100,FDTS,film,3.5,1.5,1,0.111945347
25,100,FDTS,film,3.5,1.5,2,0.09415067
25,100,FDTS,film,3.5,1.5,3,0.119760457
25,100,FDTS,film,3.5,2.5,4,0.091068234
25,100,FDTS,film,3.5,2.5,5,0.072826032
25,100,FDTS,film,3.5,2.5,6,0.079498361
25,100,FDTS,film,3.5,3.5,7,0.059748223
25,100,FDTS,film,3.5,3.5,8,0.063327546
25,100,FDTS,film,3.5,3.5,9,0.067610282
25,100,FDTS,film,3.5,4.5,1,0.061527609
25,100,FDTS,film,3.5,4.5,2,0.057850821
25,100,FDTS,film,3.5,4.5,3,0.063331245
25,100,FDTS,film,3.5,5.5,4,0.060024031
25,100,FDTS,film,3.5,5.5,5,0.060059192
25,100,FDTS,film,3.5,5.5,6,0.059667734
25,100,FDTS,film,3.5,6.5,7,0.058577232
25,100,FDTS,film,3.5,6.5,8,0.053887784
25,100,FDTS,film,3.5,6.5,9,0.057679701
25,100,FDTS,film,4.5,1.5,1,0.138030044
25,100,FDTS,film,4.5,1.5,2,0.123787451
25,100,FDTS,film,4.5,1.5,3,0.146560243
25,100,FDTS,film,4.5,2.5,4,0.095508394
25,100,FDTS,film,4.5,2.5,5,0.099334053
25,100,FDTS,film,4.5,2.5,6,0.093712351
25,100,FDTS,film,4.5,3.5,7,0.081020454
25,100,FDTS,film,4.5,3.5,8,0.086621675
25,100,FDTS,film,4.5,3.5,9,0.081699973
25,100,FDTS,film,4.5,4.5,1,0.071092724
25,100,FDTS,film,4.5,4.5,2,0.044034242
25,100,FDTS,film,4.5,4.5,3,0.069908261
25,100,FDTS,film,4.5,5.5,4,0.060705617
25,100,FDTS,film,4.5,5.5,5,0.062219132
25,100,FDTS,film,4.5,5.5,6,0.065880796
25,100,FDTS,film,4.5,6.5,7,0.057721824
25,100,FDTS,film,4.5,6.5,8,0.053067296
25,100,FDTS,film,4.5,6.5,9,0.061373012
25,100,FDTS,film,5.5,1.5,1,0.156649406
25,100,FDTS,film,5.5,1.5,2,0.169832102
25,100,FDTS,film,5.5,1.5,3,0.145510854
25,100,FDTS,film,5.5,2.5,4,0.101678
25,100,FDTS,film,5.5,2.5,5,0.0869125
25,100,FDTS,film,5.5,2.5,6,0.0926112
25,100,FDTS,film,5.5,3.5,7,0.0713141
25,100,FDTS,film,5.5,3.5,8,0.0596674
25,100,FDTS,film,5.5,3.5,9,0.0562339
25,100,FDTS,film,5.5,4.5,1,0.068825216
25,100,FDTS,film,5.5,4.5,2,0.076874128
25,100,FDTS,film,5.5,4.5,3,0.066402765
25,100,FDTS,film,5.5,5.5,4,0.054762638
25,100,FDTS,film,5.5,5.5,5,0.053387582
25,100,FDTS,film,5.5,5.5,6,0.070205648
25,100,FDTS,film,5.5,6.5,7,0.064884279
25,100,FDTS,film,5.5,6.5,8,0.069025103
25,100,FDTS,film,5.5,6.5,9,0.073817598
25,150,FDTS,film,1.5,1.5,1,0.089267555
25,150,FDTS,film,1.5,1.5,2,0.09614014
25,150,FDTS,film,1.5,1.5,3,0.086656468
25,150,FDTS,film,1.5,2.5,4,0.066115982
25,150,FDTS,film,1.5,2.5,5,0.062221484
25,150,FDTS,film,1.5,2.5,6,0.069362263
25,150,FDTS,film,1.5,3.5,7,0.062293517
25,150,FDTS,film,1.5,3.5,8,0.061510974
25,150,FDTS,film,1.5,3.5,9,0.064273649
25,150,FDTS,film,1.5,4.5,1,
25,150,FDTS,film,1.5,4.5,2,
25,150,FDTS,film,1.5,4.5,3,
25,150,FDTS,film,1.5,5.5,4,
25,150,FDTS,film,1.5,5.5,5,
25,150,FDTS,film,1.5,5.5,6,
25,150,FDTS,film,1.5,6.5,7,
25,150,FDTS,film,1.5,6.5,8,
25,150,FDTS,film,1.5,6.5,9,
25,150,FDTS,film,2.5,1.5,1,0.125624066
25,150,FDTS,film,2.5,1.5,2,0.100451902
25,150,FDTS,film,2.5,1.5,3,0.09875414
25,150,FDTS,film,2.5,2.5,4,0.081345109
25,150,FDTS,film,2.5,2.5,5,0.08161741
25,150,FDTS,film,2.5,2.5,6,0.071244547
25,150,FDTS,film,2.5,3.5,7,0.085812569
25,150,FDTS,film,2.5,3.5,8,0.076673508
25,150,FDTS,film,2.5,3.5,9,0.080808942
25,150,FDTS,film,2.5,4.5,1,0.052030531
25,150,FDTS,film,2.5,4.5,2,0.044423324
25,150,FDTS,film,2.5,4.5,3,0.04870961
25,150,FDTS,film,2.5,5.5,4,0.04666079
25,150,FDTS,film,2.5,5.5,5,0.051093422
25,150,FDTS,film,2.5,5.5,6,0.047996323
25,150,FDTS,film,2.5,6.5,7,0.043096544
25,150,FDTS,film,2.5,6.5,8,0.050579558
25,150,FDTS,film,2.5,6.5,9,0.054865858
25,150,FDTS,film,3.5,1.5,1,0.141226951
25,150,FDTS,film,3.5,1.5,2,0.125367455
25,150,FDTS,film,3.5,1.5,3,0.119677862
25,150,FDTS,film,3.5,2.5,4,0.110414791
25,150,FDTS,film,3.5,2.5,5,0.100424518
25,150,FDTS,film,3.5,2.5,6,0.106095724
25,150,FDTS,film,3.5,3.5,7,0.095674421
25,150,FDTS,film,3.5,3.5,8,0.095895138
25,150,FDTS,film,3.5,3.5,9,0.090660844
25,150,FDTS,film,3.5,4.5,1,0.063861651
25,150,FDTS,film,3.5,4.5,2,0.060205398
25,150,FDTS,film,3.5,4.5,3,0.07170088
25,150,FDTS,film,3.5,5.5,4,0.069200319
25,150,FDTS,film,3.5,5.5,5,0.069213419
25,150,FDTS,film,3.5,5.5,6,0.07285991
25,150,FDTS,film,3.5,6.5,7,0.063088618
25,150,FDTS,film,3.5,6.5,8,0.056933669
25,150,FDTS,film,3.5,6.5,9,0.065817512
25,150,FDTS,film,4.5,1.5,1,0.153145016
25,150,FDTS,film,4.5,1.5,2,0.153287152
25,150,FDTS,film,4.5,1.5,3,0.156996406
25,150,FDTS,film,4.5,2.5,4,0.108279165
25,150,FDTS,film,4.5,2.5,5,0.090693201
25,150,FDTS,film,4.5,2.5,6,0.112204552
25,150,FDTS,film,4.5,3.5,7,0.097628956
25,150,FDTS,film,4.5,3.5,8,0.095210377
25,150,FDTS,film,4.5,3.5,9,0.10521742
25,150,FDTS,film,4.5,4.5,1,0.08114195
25,150,FDTS,film,4.5,4.5,2,0.063353593
25,150,FDTS,film,4.5,4.5,3,0.062970362
25,150,FDTS,film,4.5,5.5,4,0.075621944
25,150,FDTS,film,4.5,5.5,5,0.07302173
25,150,FDTS,film,4.5,5.5,6,0.075082746
25,150,FDTS,film,4.5,6.5,7,0.063581083
25,150,FDTS,film,4.5,6.5,8,0.067199332
25,150,FDTS,film,4.5,6.5,9,0.075798374
25,150,FDTS,film,5.5,1.5,1,0.169865448
25,150,FDTS,film,5.5,1.5,2,0.173744922
25,150,FDTS,film,5.5,1.5,3,0.159628222
25,150,FDTS,film,5.5,2.5,4,0.13028756
25,150,FDTS,film,5.5,2.5,5,0.1115729
25,150,FDTS,film,5.5,2.5,6,0.126180101
25,150,FDTS,film,5.5,3.5,7,0.109423075
25,150,FDTS,film,5.5,3.5,8,0.113805337
25,150,FDTS,film,5.5,3.5,9,0.113261081
25,150,FDTS,film,5.5,4.5,1,0.085579026
25,150,FDTS,film,5.5,4.5,2,0.084997838
25,150,FDTS,film,5.5,4.5,3,0.094440687
25,150,FDTS,film,5.5,5.5,4,0.082596751
25,150,FDTS,film,5.5,5.5,5,0.084815006
25,150,FDTS,film,5.5,5.5,6,0.079268918
25,150,FDTS,film,5.5,6.5,7,0.075735895
25,150,FDTS,film,5.5,6.5,8,0.084883265
25,150,FDTS,film,5.5,6.5,9,0.088046678
25,200,FDTS,film,1.5,1.5,1,0.063441653
25,200,FDTS,film,1.5,1.5,2,0.059462069
25,200,FDTS,film,1.5,1.5,3,0.061106093
25,200,FDTS,film,1.5,2.5,4,0.054196001
25,200,FDTS,film,1.5,2.5,5,
25,200,FDTS,film,1.5,2.5,6,0.059005086
25,200,FDTS,film,1.5,3.5,7,
25,200,FDTS,film,1.5,3.5,8,
25,200,FDTS,film,1.5,3.5,9,
25,200,FDTS,film,1.5,4.5,1,
25,200,FDTS,film,1.5,4.5,2,
25,200,FDTS,film,1.5,4.5,3,
25,200,FDTS,film,1.5,5.5,4,
25,200,FDTS,film,1.5,5.5,5,
25,200,FDTS,film,1.5,5.5,6,
25,200,FDTS,film,1.5,6.5,7,
25,200,FDTS,film,1.5,6.5,8,
25,200,FDTS,film,1.5,6.5,9,
25,200,FDTS,film,2.5,1.5,1,0.092360782
25,200,FDTS,film,2.5,1.5,2,0.087502409
25,200,FDTS,film,2.5,1.5,3,0.089279613
25,200,FDTS,film,2.5,2.5,4,0.073255988
25,200,FDTS,film,2.5,2.5,5,0.073848454
25,200,FDTS,film,2.5,2.5,6,0.071878637
25,200,FDTS,film,2.5,3.5,7,0.060250801
25,200,FDTS,film,2.5,3.5,8,0.064583379
25,200,FDTS,film,2.5,3.5,9,0.060635323
25,200,FDTS,film,2.5,4.5,1,0.058259663
25,200,FDTS,film,2.5,4.5,2,0.048236328
25,200,FDTS,film,2.5,4.5,3,0.051524123
25,200,FDTS,film,2.5,5.5,4,0.049462167
25,200,FDTS,film,2.5,5.5,5,0.051136684
25,200,FDTS,film,2.5,5.5,6,0.048587689
25,200,FDTS,film,2.5,6.5,7,0.042155331
25,200,FDTS,film,2.5,6.5,8,0.04635412
25,200,FDTS,film,2.5,6.5,9,0.052868974
25,200,FDTS,film,3.5,1.5,1,0.123993433
25,200,FDTS,film,3.5,1.5,2,0.109575973
25,200,FDTS,film,3.5,1.5,3,0.126732268
25,200,FDTS,film,3.5,2.5,4,0.090216434
25,200,FDTS,film,3.5,2.5,5,0.093609653
25,200,FDTS,film,3.5,2.5,6,0.093233061
25,200,FDTS,film,3.5,3.5,7,0.078633336
25,200,FDTS,film,3.5,3.5,8,0.082409937
25,200,FDTS,film,3.5,3.5,9,0.095564264
25,200,FDTS,film,3.5,4.5,1,0.061781255
25,200,FDTS,film,3.5,4.5,2,0.062056555
25,200,FDTS,film,3.5,4.5,3,0.062937044
25,200,FDTS,film,3.5,5.5,4,0.069924054
25,200,FDTS,film,3.5,5.5,5,
25,200,FDTS,film,3.5,5.5,6,0.077582959
25,200,FDTS,film,3.5,6.5,7,0.066463062
25,200,FDTS,film,3.5,6.5,8,0.060154684
25,200,FDTS,film,3.5,6.5,9,0.017611824
25,200,FDTS,film,4.5,1.5,1,0.155950087
25,200,FDTS,film,4.5,1.5,2,0.158842177
25,200,FDTS,film,4.5,1.5,3,0.153877963
25,200,FDTS,film,4.5,2.5,4,0.114307888
25,200,FDTS,film,4.5,2.5,5,0.107067834
25,200,FDTS,film,4.5,2.5,6,0.11060696
25,200,FDTS,film,4.5,3.5,7,0.092248553
25,200,FDTS,film,4.5,3.5,8,0.084169914
25,200,FDTS,film,4.5,3.5,9,0.08212599
25,200,FDTS,film,4.5,4.5,1,0.077267479
25,200,FDTS,film,4.5,4.5,2,0.06593105
25,200,FDTS,film,4.5,4.5,3,0.080852621
25,200,FDTS,film,4.5,5.5,4,0.073612845
25,200,FDTS,film,4.5,5.5,5,0.076645152
25,200,FDTS,film,4.5,5.5,6,0.081293259
25,200,FDTS,film,4.5,6.5,7,0.073883702
25,200,FDTS,film,4.5,6.5,8,0.059060352
25,200,FDTS,film,4.5,6.5,9,
25,200,FDTS,film,5.5,1.5,1,0.176585435
25,200,FDTS,film,5.5,1.5,2,0.180968798
25,200,FDTS,film,5.5,1.5,3,0.166827658
25,200,FDTS,film,5.5,2.5,4,0.130655228
25,200,FDTS,film,5.5,2.5,5,0.143568436
25,200,FDTS,film,5.5,2.5,6,0.134119925
25,200,FDTS,film,5.5,3.5,7,0.106892183
25,200,FDTS,film,5.5,3.5,8,
25,200,FDTS,film,5.5,3.5,9,0.097972783
25,200,FDTS,film,5.5,4.5,1,0.09022153
25,200,FDTS,film,5.5,4.5,2,0.081764368
25,200,FDTS,film,5.5,4.5,3,0.095803228
25,200,FDTS,film,5.5,5.5,4,0.081478753
25,200,FDTS,film,5.5,5.5,5,
25,200,FDTS,film,5.5,5.5,6,0.084724973
25,200,FDTS,film,5.5,6.5,7,0.075977503
25,200,FDTS,film,5.5,6.5,8,0.076370207
25,200,FDTS,film,5.5,6.5,9,0.073525998
25,250,FDTS,film,1.5,1.5,1,0.069983554
25,250,FDTS,film,1.5,1.5,2,0.044255187
25,250,FDTS,film,1.5,1.5,3,0.061338136
25,250,FDTS,film,1.5,2.5,4,0.047178349
25,250,FDTS,film,1.5,2.5,5,0.045349631
25,250,FDTS,film,1.5,2.5,6,0.047582338
25,250,FDTS,film,1.5,3.5,7,
25,250,FDTS,film,1.5,3.5,8,
25,250,FDTS,film,1.5,3.5,9,
25,250,FDTS,film,1.5,4.5,1,
25,250,FDTS,film,1.5,4.5,2,
25,250,FDTS,film,1.5,4.5,3,
25,250,FDTS,film,1.5,5.5,4,
25,250,FDTS,film,1.5,5.5,5,
25,250,FDTS,film,1.5,5.5,6,
25,250,FDTS,film,1.5,6.5,7,
25,250,FDTS,film,1.5,6.5,8,
25,250,FDTS,film,1.5,6.5,9,
25,250,FDTS,film,2.5,1.5,1,0.094691283
25,250,FDTS,film,2.5,1.5,2,0.091583672
25,250,FDTS,film,2.5,1.5,3,0.092852538
25,250,FDTS,film,2.5,2.5,4,0.056127539
25,250,FDTS,film,2.5,2.5,5,0.082038872
25,250,FDTS,film,2.5,2.5,6,0.079098764
25,250,FDTS,film,2.5,3.5,7,0.060066459
25,250,FDTS,film,2.5,3.5,8,0.063878539
25,250,FDTS,film,2.5,3.5,9,0.059687063
25,250,FDTS,film,2.5,4.5,1,
25,250,FDTS,film,2.5,4.5,2,
25,250,FDTS,film,2.5,4.5,3,
25,250,FDTS,film,2.5,5.5,4,
25,250,FDTS,film,2.5,5.5,5,
25,250,FDTS,film,2.5,5.5,6,
25,250,FDTS,film,2.5,6.5,7,
25,250,FDTS,film,2.5,6.5,8,
25,250,FDTS,film,2.5,6.5,9,
25,250,FDTS,film,3.5,1.5,1,0.120737556
25,250,FDTS,film,3.5,1.5,2,0.139096396
25,250,FDTS,film,3.5,1.5,3,0.158146461
25,250,FDTS,film,3.5,2.5,4,0.113315884
25,250,FDTS,film,3.5,2.5,5,0.104989224
25,250,FDTS,film,3.5,2.5,6,0.105285769
25,250,FDTS,film,3.5,3.5,7,0.083558714
25,250,FDTS,film,3.5,3.5,8,
25,250,FDTS,film,3.5,3.5,9,
25,250,FDTS,film,3.5,4.5,1,0.061590935
25,250,FDTS,film,3.5,4.5,2,0.065180901
25,250,FDTS,film,3.5,4.5,3,0.065974505
25,250,FDTS,film,3.5,5.5,4,0.061565724
25,250,FDTS,film,3.5,5.5,5,0.067319871
25,250,FDTS,film,3.5,5.5,6,0.065673856
25,250,FDTS,film,3.5,6.5,7,0.056254489
25,250,FDTS,film,3.5,6.5,8,
25,250,FDTS,film,3.5,6.5,9,
25,250,FDTS,film,4.5,1.5,1,0.168220618
25,250,FDTS,film,4.5,1.5,2,0.176323282
25,250,FDTS,film,4.5,1.5,3,0.173779052
25,250,FDTS,film,4.5,2.5,4,0.13275962
25,250,FDTS,film,4.5,2.5,5,0.126173866
25,250,FDTS,film,4.5,2.5,6,0.12685585
25,250,FDTS,film,4.5,3.5,7,0.107034682
25,250,FDTS,film,4.5,3.5,8,0.0967759
25,250,FDTS,film,4.5,3.5,9,0.120849691
25,250,FDTS,film,4.5,4.5,1,0.079453649
25,250,FDTS,film,4.5,4.5,2,0.077384347
25,250,FDTS,film,4.5,4.5,3,0.081327842
25,250,FDTS,film,4.5,5.5,4,0.079595036
25,250,FDTS,film,4.5,5.5,5,0.074111294
25,250,FDTS,film,4.5,5.5,6,0.079680717
25,250,FDTS,film,4.5,6.5,7,0.073563862
25,250,FDTS,film,4.5,6.5,8,
25,250,FDTS,film,4.5,6.5,9,
25,250,FDTS,film,5.5,1.5,1,0.186106504
25,250,FDTS,film,5.5,1.5,2,0.182326803
25,250,FDTS,film,5.5,1.5,3,0.17861516
25,250,FDTS,film,5.5,2.5,4,0.126907624
25,250,FDTS,film,5.5,2.5,5,0.12972261
25,250,FDTS,film,5.5,2.5,6,0.125660997
25,250,FDTS,film,5.5,3.5,7,0.105872994
25,250,FDTS,film,5.5,3.5,8,0.090119797
25,250,FDTS,film,5.5,3.5,9,0.098286115
25,250,FDTS,film,5.5,4.5,1,0.093611504
25,250,FDTS,film,5.5,4.5,2,0.100119804
25,250,FDTS,film,5.5,4.5,3,0.096419161
25,250,FDTS,film,5.5,5.5,4,0.091311518
25,250,FDTS,film,5.5,5.5,5,0.093156413
25,250,FDTS,film,5.5,5.5,6,0.088160575
25,250,FDTS,film,5.5,6.5,7,0.081876686
25,250,FDTS,film,5.5,6.5,8,0.074967205
25,250,FDTS,film,5.5,6.5,9,0.072273948
